p,e1,e2
0.90110,-0.67821,-0.67427
0.90250,-0.67728,-0.67322
0.90390,-0.67635,-0.67216
0.90531,-0.67541,-0.67111
0.90671,-0.67448,-0.67005
0.90811,-0.67355,-0.66899
0.90951,-0.67261,-0.66793
0.91091,-0.67167,-0.66687
0.91231,-0.67074,-0.66580
0.91371,-0.66980,-0.66473
0.91512,-0.66886,-0.66367
0.91652,-0.66792,-0.66260
0.91792,-0.66698,-0.66153
0.91932,-0.66604,-0.66045
0.92072,-0.66510,-0.65938
0.92212,-0.66415,-0.65830
0.92352,-0.66321,-0.65722
0.92492,-0.66226,-0.65615
0.92633,-0.66132,-0.65506
0.92773,-0.66037,-0.65398
0.92913,-0.65943,-0.65290
0.93053,-0.65848,-0.65181
0.93193,-0.65753,-0.65072
0.93333,-0.65658,-0.64963
0.93473,-0.65563,-0.64854
0.93614,-0.65468,-0.64745
0.93754,-0.65373,-0.64636
0.93894,-0.65278,-0.64526
0.94034,-0.65183,-0.64416
0.94174,-0.65087,-0.64307
0.94314,-0.64992,-0.64196
0.94454,-0.64897,-0.64086
0.94595,-0.64801,-0.63976
0.94735,-0.64705,-0.63865
0.94875,-0.64610,-0.63755
0.95015,-0.64514,-0.63644
0.95155,-0.64418,-0.63533
0.95295,-0.64322,-0.63421
0.95435,-0.64226,-0.63310
0.95576,-0.64130,-0.63199
0.95716,-0.64034,-0.63087
0.95856,-0.63938,-0.62975
0.95996,-0.63842,-0.62863
0.96136,-0.63746,-0.62751
0.96276,-0.63650,-0.62638
0.96416,-0.63553,-0.62526
0.96557,-0.63457,-0.62413
0.96697,-0.63360,-0.62300
0.96837,-0.63264,-0.62187
0.96977,-0.63167,-0.62074
0.97117,-0.63071,-0.61961
0.97257,-0.62974,-0.61847
0.97397,-0.62877,-0.61734
0.97538,-0.62781,-0.61620
0.97678,-0.62684,-0.61506
0.97818,-0.62587,-0.61392
0.97958,-0.62490,-0.61277
0.98098,-0.62393,-0.61163
0.98238,-0.62296,-0.61048
0.98378,-0.62199,-0.60934
0.98519,-0.62102,-0.60819
0.98659,-0.62004,-0.60703
0.98799,-0.61907,-0.60588
0.98939,-0.61810,-0.60473
0.99079,-0.61713,-0.60357
0.99219,-0.61615,-0.60241
0.99359,-0.61518,-0.60125
0.99499,-0.61420,-0.60009
0.99640,-0.61323,-0.59893
0.99780,-0.61225,-0.59776
0.99920,-0.61128,-0.59660
1.00060,-0.61030,-0.59543
1.00200,-0.60933,-0.59426
1.00340,-0.60835,-0.59309
1.00480,-0.60737,-0.59192
1.00621,-0.60639,-0.59074
1.00761,-0.60542,-0.58957
1.00901,-0.60444,-0.58839
1.01041,-0.60346,-0.58721
1.01181,-0.60248,-0.58603
1.01321,-0.60150,-0.58485
1.01461,-0.60052,-0.58366
1.01602,-0.59954,-0.58248
1.01742,-0.59856,-0.58129
1.01882,-0.59758,-0.58010
1.02022,-0.59660,-0.57891
1.02162,-0.59562,-0.57772
1.02302,-0.59464,-0.57652
1.02442,-0.59366,-0.57533
1.02583,-0.59268,-0.57413
1.02723,-0.59170,-0.57293
1.02863,-0.59071,-0.57173
1.03003,-0.58973,-0.57053
1.03143,-0.58875,-0.56933
1.03283,-0.58777,-0.56812
1.03423,-0.58679,-0.56691
1.03564,-0.58580,-0.56571
1.03704,-0.58482,-0.56450
1.03844,-0.58384,-0.56328
1.03984,-0.58286,-0.56207
1.04124,-0.58187,-0.56085
1.04264,-0.58089,-0.55964
1.04404,-0.57991,-0.55842
1.04545,-0.57892,-0.55720
1.04685,-0.57794,-0.55598
1.04825,-0.57696,-0.55475
1.04965,-0.57597,-0.55353
1.05105,-0.57499,-0.55230
1.05245,-0.57401,-0.55107
1.05385,-0.57302,-0.54984
1.05526,-0.57204,-0.54861
1.05666,-0.57106,-0.54738
1.05806,-0.57007,-0.54614
1.05946,-0.56909,-0.54491
1.06086,-0.56811,-0.54367
1.06226,-0.56713,-0.54243
1.06366,-0.56614,-0.54119
1.06507,-0.56516,-0.53995
1.06647,-0.56418,-0.53870
1.06787,-0.56320,-0.53746
1.06927,-0.56221,-0.53621
1.07067,-0.56123,-0.53496
1.07207,-0.56025,-0.53371
1.07347,-0.55927,-0.53245
1.07487,-0.55829,-0.53120
1.07628,-0.55731,-0.52994
1.07768,-0.55633,-0.52869
1.07908,-0.55535,-0.52743
1.08048,-0.55437,-0.52617
1.08188,-0.55339,-0.52490
1.08328,-0.55241,-0.52364
1.08468,-0.55143,-0.52237
1.08609,-0.55045,-0.52110
1.08749,-0.54947,-0.51984
1.08889,-0.54849,-0.51856
1.09029,-0.54751,-0.51729
1.09169,-0.54654,-0.51602
1.09309,-0.54556,-0.51474
1.09449,-0.54458,-0.51347
1.09590,-0.54361,-0.51219
1.09730,-0.54263,-0.51091
1.09870,-0.54166,-0.50962
1.10010,-0.54068,-0.50834
1.10150,-0.53971,-0.50705
1.10290,-0.53873,-0.50577
1.10430,-0.53776,-0.50448
1.10571,-0.53679,-0.50319
1.10711,-0.53582,-0.50190
1.10851,-0.53485,-0.50060
1.10991,-0.53388,-0.49931
1.11131,-0.53291,-0.49801
1.11271,-0.53194,-0.49671
1.11411,-0.53097,-0.49541
1.11552,-0.53000,-0.49411
1.11692,-0.52904,-0.49280
1.11832,-0.52807,-0.49150
1.11972,-0.52711,-0.49019
1.12112,-0.52614,-0.48888
1.12252,-0.52518,-0.48757
1.12392,-0.52422,-0.48626
1.12533,-0.52326,-0.48495
1.12673,-0.52230,-0.48363
1.12813,-0.52134,-0.48232
1.12953,-0.52038,-0.48100
1.13093,-0.51942,-0.47968
1.13233,-0.51846,-0.47836
1.13373,-0.51751,-0.47703
1.13514,-0.51655,-0.47571
1.13654,-0.51560,-0.47438
1.13794,-0.51465,-0.47305
1.13934,-0.51370,-0.47173
1.14074,-0.51275,-0.47039
1.14214,-0.51180,-0.46906
1.14354,-0.51085,-0.46773
1.14494,-0.50990,-0.46639
1.14635,-0.50896,-0.46505
1.14775,-0.50801,-0.46371
