p,e1,e2
1.04685,-2.82971,-2.83941
1.04825,-2.82969,-2.83867
1.04965,-2.82969,-2.83794
1.05105,-2.82968,-2.83720
1.05245,-2.82968,-2.83647
1.05385,-2.82968,-2.83573
1.05526,-2.82969,-2.83499
1.05666,-2.82970,-2.83425
1.05806,-2.82971,-2.83351
1.05946,-2.82973,-2.83277
1.06086,-2.82975,-2.83202
1.06226,-2.82978,-2.83128
1.06366,-2.82981,-2.83054
1.06507,-2.82985,-2.82979
1.06647,-2.82989,-2.82904
1.06787,-2.82993,-2.82829
1.06927,-2.82998,-2.82755
1.07067,-2.83003,-2.82680
1.07207,-2.83009,-2.82605
1.07347,-2.83015,-2.82529
1.07487,-2.83022,-2.82454
1.07628,-2.83029,-2.82379
1.07768,-2.83037,-2.82303
1.07908,-2.83045,-2.82228
1.08048,-2.83053,-2.82152
1.08188,-2.83062,-2.82076
1.08328,-2.83072,-2.82000
1.08468,-2.83082,-2.81925
1.08609,-2.83093,-2.81848
1.08749,-2.83104,-2.81772
1.08889,-2.83115,-2.81696
1.09029,-2.83127,-2.81620
1.09169,-2.83140,-2.81543
1.09309,-2.83153,-2.81467
1.09449,-2.83167,-2.81390
1.09590,-2.83181,-2.81313
1.09730,-2.83196,-2.81236
1.09870,-2.83211,-2.81160
1.10010,-2.83227,-2.81083
1.10150,-2.83243,-2.81005
1.10290,-2.83260,-2.80928
1.10430,-2.83277,-2.80851
1.10571,-2.83296,-2.80773
1.10711,-2.83314,-2.80696
1.10851,-2.83333,-2.80618
1.10991,-2.83353,-2.80541
1.11131,-2.83374,-2.80463
1.11271,-2.83395,-2.80385
1.11411,-2.83416,-2.80307
1.11552,-2.83439,-2.80229
1.11692,-2.83462,-2.80150
1.11832,-2.83485,-2.80072
1.11972,-2.83509,-2.79994
1.12112,-2.83534,-2.79915
1.12252,-2.83560,-2.79837
1.12392,-2.83586,-2.79758
1.12533,-2.83612,-2.79679
1.12673,-2.83640,-2.79600
1.12813,-2.83668,-2.79521
1.12953,-2.83697,-2.79442
1.13093,-2.83726,-2.79363
1.13233,-2.83756,-2.79284
1.13373,-2.83787,-2.79204
1.13514,-2.83819,-2.79125
1.13654,-2.83851,-2.79045
1.13794,-2.83884,-2.78965
