alphas,e1,e2
4.16216,-4.16216,-4.38040
4.16817,-4.16817,-4.38704
4.17417,-4.17417,-4.39367
4.18018,-4.18018,-4.40031
4.18619,-4.18619,-4.40695
4.19219,-4.19219,-4.41359
4.19820,-4.19820,-4.42023
4.20420,-4.20420,-4.42687
4.21021,-4.21021,-4.43352
4.21622,-4.21622,-4.44016
4.22222,-4.22222,-4.44681
4.22823,-4.22823,-4.45345
4.23423,-4.23423,-4.46010
4.24024,-4.24024,-4.46674
4.24625,-4.24625,-4.47339
4.25225,-4.25225,-4.48004
4.25826,-4.25826,-4.48669
4.26426,-4.26426,-4.49334
4.27027,-4.27027,-4.49999
4.27628,-4.27628,-4.50665
4.28228,-4.28228,-4.51330
4.28829,-4.28829,-4.51995
4.29429,-4.29429,-4.52661
4.30030,-4.30030,-4.53327
4.30631,-4.30631,-4.53992
4.31231,-4.31231,-4.54658
4.31832,-4.31832,-4.55324
4.32432,-4.32432,-4.55990
4.33033,-4.33033,-4.56656
4.33634,-4.33634,-4.57322
4.34234,-4.34234,-4.57989
4.34835,-4.34835,-4.58655
4.35435,-4.35435,-4.59321
4.36036,-4.36036,-4.59988
4.36637,-4.36637,-4.60655
4.37237,-4.37237,-4.61321
4.37838,-4.37838,-4.61988
4.38438,-4.38438,-4.62655
4.39039,-4.39039,-4.63322
4.39640,-4.39640,-4.63989
4.40240,-4.40240,-4.64656
4.40841,-4.40841,-4.65323
4.41441,-4.41441,-4.65991
4.42042,-4.42042,-4.66658
4.42643,-4.42643,-4.67326
4.43243,-4.43243,-4.67993
4.43844,-4.43844,-4.68661
4.44444,-4.44444,-4.69329
4.45045,-4.45045,-4.69997
4.45646,-4.45646,-4.70665
4.46246,-4.46246,-4.71333
4.46847,-4.46847,-4.72001
4.47447,-4.47447,-4.72669
4.48048,-4.48048,-4.73338
4.48649,-4.48649,-4.74006
4.49249,-4.49249,-4.74675
4.49850,-4.49850,-4.75343
4.50450,-4.50450,-4.76012
4.51051,-4.51051,-4.76681
4.51652,-4.51652,-4.77350
4.52252,-4.52252,-4.78019
4.52853,-4.52853,-4.78688
4.53453,-4.53453,-4.79357
4.54054,-4.54054,-4.80026
4.54655,-4.54655,-4.80696
4.55255,-4.55255,-4.81365
4.55856,-4.55856,-4.82035
4.56456,-4.56456,-4.82704
4.57057,-4.57057,-4.83374
4.57658,-4.57658,-4.84044
4.58258,-4.58258,-4.84714
4.58859,-4.58859,-4.85384
4.59459,-4.59459,-4.86054
4.60060,-4.60060,-4.86724
4.60661,-4.60661,-4.87394
4.61261,-4.61261,-4.88065
4.61862,-4.61862,-4.88735
4.62462,-4.62462,-4.89406
4.63063,-4.63063,-4.90076
4.63664,-4.63664,-4.90747
4.64264,-4.64264,-4.91418
4.64865,-4.64865,-4.92089
4.65465,-4.65465,-4.92760
4.66066,-4.66066,-4.93431
4.66667,-4.66667,-4.94102
4.67267,-4.67267,-4.94773
4.67868,-4.67868,-4.95445
4.68468,-4.68468,-4.96116
4.69069,-4.69069,-4.96787
4.69670,-4.69670,-4.97459
4.70270,-4.70270,-4.98131
4.70871,-4.70871,-4.98803
4.71471,-4.71471,-4.99475
4.72072,-4.72072,-5.00147
4.72673,-4.72673,-5.00819
4.73273,-4.73273,-5.01491
4.73874,-4.73874,-5.02163
4.74474,-4.74474,-5.02835
4.75075,-4.75075,-5.03508
4.75676,-4.75676,-5.04180
4.76276,-4.76276,-5.04853
4.76877,-4.76877,-5.05526
4.77477,-4.77477,-5.06199
4.78078,-4.78078,-5.06871
4.78679,-4.78679,-5.07544
4.79279,-4.79279,-5.08218
4.79880,-4.79880,-5.08891
4.80480,-4.80480,-5.09564
4.81081,-4.81081,-5.10237
4.81682,-4.81682,-5.10911
4.82282,-4.82282,-5.11584
4.82883,-4.82883,-5.12258
4.83483,-4.83483,-5.12932
4.84084,-4.84084,-5.13605
4.84685,-4.84685,-5.14279
4.85285,-4.85285,-5.14953
4.85886,-4.85886,-5.15627
4.86486,-4.86486,-5.16302
4.87087,-4.87087,-5.16976
4.87688,-4.87688,-5.17650
4.88288,-4.88288,-5.18325
4.88889,-4.88889,-5.18999
4.89489,-4.89489,-5.19674
4.90090,-4.90090,-5.20349
4.90691,-4.90691,-5.21023
4.91291,-4.91291,-5.21698
4.91892,-4.91892,-5.22373
